options__key,options__name,options__description,price,engineSize,averageRating,reviewsCount,power,MPGCombined
200688940,Cadillac CTS-V,4dr Sedan (6.2L 8cyl S/C 8A),83995.00,6.20,640.00,17.00,0.00,0.00
200714823,Cadillac ELR,2dr Coupe (gas/electric hybrid DD),65000.00,3.00,233.00,0.00,5.00,1.00
401575661,Cadillac Escalade,Luxury 4dr SUV 4WD (6.2L 8cyl 8A),79645.00,6.20,420.00,18.00,4.00,1.00
401575668,Cadillac Escalade ESV,Luxury 4dr SUV (6.2L 8cyl 8A),80045.00,6.20,420.00,18.00,3.50,2.00
200744030,Cadillac SRX,Premium 4dr SUV (3.6L 6cyl 6A),48920.00,3.60,308.00,20.00,5.00,1.00
401566635,Cadillac XTS,Platinum 4dr Sedan (3.6L 6cyl 6A),64550.00,3.60,304.00,23.00,0.00,0.00
401582628,Chevrolet Camaro,SS w/1SS 2dr Coupe (6.2L 8cyl 6M),36300.00,6.20,455.00,20.00,4.25,4.00
401631651,Chevrolet City Express,LS 4dr Minivan (2.0L 4cyl CVT),21955.00,2.00,131.00,25.00,0.00,0.00
401575481,Chevrolet Colorado,Work Truck 4dr Crew Cab 4WD LB (3.6L 6cyl 6A),30305.00,3.60,305.00,20.00,4.12,17.00
200744626,Chevrolet Corvette,Z06 w/2LZ 2dr Coupe (6.2L 8cyl S/C 7M),82965.00,6.20,650.00,18.00,5.00,4.00
401627067,Chevrolet Cruze,L 4dr Sedan (1.4L 4cyl 6M),16620.00,1.40,153.00,34.00,3.50,2.00
200745928,Chevrolet Cruze Limited,Eco 4dr Sedan (1.4L 4cyl Turbo 6M),20195.00,1.40,138.00,34.00,4.00,3.00
200724435,Chevrolet Equinox,L 4dr SUV (2.4L 4cyl 6A),22600.00,2.40,182.00,27.00,4.36,11.00
401626098,Chevrolet Express,LS 3500 3dr Van (4.8L 8cyl 6A),35285.00,4.80,285.00,13.00,0.00,0.00
401630651,Chevrolet Express Cargo,3500 3dr Ext Van (4.8L 8cyl 6A),34800.00,4.80,285.00,0.00,0.00,0.00
200779611,Chevrolet Impala,LT CNG w/3LT 4dr Sedan (3.6L 6cyl 6A),40810.00,3.60,0.00,21.00,3.25,4.00
401582193,Chevrolet Malibu,LT w/2LT 4dr Sedan (2.0L 4cyl Turbo 8A),28620.00,2.00,250.00,27.00,4.29,7.00
200747327,Chevrolet Malibu Limited,LTZ 4dr Sedan (2.5L 4cyl 6A),28420.00,2.50,197.00,29.00,4.60,5.00
401614831,Chevrolet SS,4dr Sedan (6.2L 8cyl 6A),46575.00,6.20,415.00,17.00,0.00,0.00
401582166,Chevrolet Silverado 1500,LS 4dr Crew Cab 6.5 ft. SB (5.3L 8cyl 6A),38300.00,5.30,355.00,19.00,5.00,1.00
401597708,Chevrolet Silverado 2500HD,Work Truck 4dr Crew Cab LB (6.0L 8cyl 6A),36935.00,6.00,360.00,0.00,0.00,0.00
401612170,Chevrolet Silverado 3500HD,Work Truck 4dr Crew Cab LB (6.0L 8cyl 6A),38810.00,6.00,360.00,0.00,0.00,0.00
401566582,Chevrolet Sonic,LT 4dr Hatchback (1.8L 4cyl 5M),16755.00,1.80,138.00,30.00,0.00,0.00
401614783,Chevrolet Spark,LS 4dr Hatchback (1.4L 4cyl CVT),13760.00,1.40,98.00,36.00,5.00,1.00
401625838,Chevrolet Spark EV,2LT 4dr Hatchback (electric DD),25510.00,3.00,140.00,119.00,0.00,0.00
200749049,Chevrolet Suburban,LT 4dr SUV 4WD (5.3L 8cyl 6A),57730.00,5.30,355.00,18.00,0.00,0.00
200749044,Chevrolet Tahoe,LS 4dr SUV (5.3L 8cyl 6A),47000.00,5.30,355.00,19.00,4.00,3.00
200738916,Chevrolet Traverse,LS 4dr SUV AWD (3.6L 6cyl 6A),33205.00,3.60,281.00,19.00,4.00,6.00
200779840,Chevrolet Trax,LTZ 4dr SUV AWD (1.4L 4cyl Turbo 6A),26730.00,1.40,138.00,27.00,4.50,2.00
200707599,Chevrolet Volt,LT 4dr Hatchback (gas/electric hybrid DD),33170.00,3.00,149.00,0.00,3.83,18.00
401630236,Chrysler 200,Touring 4dr Sedan (2.4L 4cyl 9A),22490.00,2.40,184.00,29.00,3.40,5.00
200751784,Chrysler 300,C Platinum 4dr Sedan (3.6L 6cyl 8A),42565.00,3.60,292.00,24.00,0.00,0.00
200740454,Chrysler Town and Country,Touring-L 4dr Minivan (3.6L 6cyl 6A),35845.00,3.60,283.00,21.00,5.00,1.00
200782270,Dodge Challenger,SRT 392 2dr Coupe (6.4L 8cyl 6M),49195.00,6.40,485.00,18.00,5.00,8.00
200751381,Dodge Charger,SRT Hellcat 4dr Sedan (6.2L 8cyl S/C 8A),65945.00,6.20,707.00,17.00,4.00,4.00
200738448,Dodge Dart,SXT 4dr Sedan (2.4L 4cyl 6M),19395.00,2.40,184.00,28.00,4.00,4.00
401630681,Dodge Durango,Anodized Platinum 4dr SUV AWD (3.6L 6cyl 8A),44990.00,3.60,295.00,21.00,0.00,0.00
200741067,Dodge Grand Caravan,SE 4dr Minivan (3.6L 6cyl 6A),24595.00,3.60,283.00,21.00,3.00,4.00
200741373,Dodge Journey,SXT 4dr SUV (2.4L 4cyl 4A),24895.00,2.40,173.00,22.00,5.00,1.00
200734699,Dodge Viper,GTS 2dr Coupe (8.4L 10cyl 6M),107995.00,8.40,645.00,16.00,0.00,0.00
401572435,FIAT 500,Turbo 2dr Hatchback (1.4L 4cyl Turbo 5M),19700.00,1.40,135.00,31.00,0.00,0.00
401573963,FIAT 500L,Pop 4dr Wagon (1.4L 4cyl Turbo 6M),19495.00,1.40,160.00,29.00,0.00,0.00
200732658,FIAT 500X,Trekking Plus 4dr SUV AWD (2.4L 4cyl 9A),29110.00,2.40,180.00,25.00,3.00,13.00
401566602,FIAT 500e,2dr Hatchback (electric DD),31800.00,3.00,0.00,116.00,0.00,0.00
200741404,Ford C-Max Energi,SEL 4dr Wagon (2.0L 4cyl gas/electric hybrid CVT),31770.00,2.00,188.00,0.00,0.00,0.00
200742271,Ford C-Max Hybrid,SEL 4dr Wagon (2.0L 4cyl gas/electric hybrid CVT),27170.00,2.00,188.00,40.00,0.00,0.00
401589395,Ford Edge,SE 4dr SUV AWD (2.0L 4cyl Turbo 6A),30695.00,2.00,245.00,24.00,4.67,3.00
200733446,Ford Escape,SE 4dr SUV (1.6L 4cyl Turbo 6A),25790.00,1.60,178.00,27.00,4.09,22.00
200734918,Ford Expedition,Limited 4dr SUV (3.5L 6cyl Turbo 6A),55145.00,3.50,365.00,19.00,4.00,2.00
200693543,Ford Explorer,4dr SUV (3.5L 6cyl 6A),31050.00,3.50,290.00,20.00,3.91,33.00
401582349,Ford F-150,XLT 2dr Regular Cab 6.5 ft. SB (3.5L 6cyl 6A),31790.00,3.50,282.00,21.00,5.00,2.00
200730160,Ford F-250 Super Duty,Lariat 4dr Crew Cab 4WD SB (6.2L 8cyl 6A),50380.00,6.20,385.00,0.00,5.00,2.00
200730319,Ford F-350 Super Duty,Platinum 4dr Crew Cab LB DRW (6.2L 8cyl 6A),56150.00,6.20,316.00,0.00,5.00,1.00
200730708,Ford F-450 Super Duty,Platinum 4dr Crew Cab Pickup 4WD (6.7L 8cyl Turbodiesel 6A),71320.00,6.70,440.00,0.00,0.00,0.00
200733230,Ford Fiesta,SE 4dr Hatchback (1.6L 4cyl 5M),16110.00,1.60,120.00,32.00,3.25,4.00
401593865,Ford Flex,Limited 4dr Wagon AWD (3.5L 6cyl 6A),39750.00,3.50,287.00,19.00,0.00,0.00
200740247,Ford Focus,S 4dr Sedan (2.0L 4cyl 5M),17225.00,2.00,160.00,31.00,4.50,4.00
